"boxerID","wins","defeats","draws","wins_by_KO","defeats_by_KO"
"730542","12","1",1,"9 KOs","0 KOs"
"652139","30","1",0,"25 KOs","1 KOs"
"727039","16","0",0,"9 KOs","0 KOs"
"752878","15","0",0,"10 KOs","0 KOs"
"328611","34","5",1,"18 KOs","1 KOs"
"677961","24","1",0,"20 KOs","1 KOs"
"746813","18","1",0,"12 KOs","0 KOs"
"781366","14","0",0,"12 KOs","0 KOs"
"497849","27","3",1,"15 KOs","0 KOs"
"721141","17","2",1,"10 KOs","0 KOs"
"543029","24","5",2,"5 KOs","2 KOs"
"562383","29","4",1,"7 KOs","2 KOs"
"449201","25","4",0,"9 KOs","2 KOs"
"291908","34","2",2,"25 KOs","1 KOs"
"787807","13","0",0,"5 KOs","0 KOs"
"614887","19","2",0,"12 KOs","1 KOs"
"683189","23","2",0,"11 KOs","0 KOs"
"462044","27","4",0,"17 KOs","3 KOs"
"744388","24","0",0,"22 KOs","0 KOs"
"725784","17","0",0,"11 KOs","0 KOs"
"512994","20","2",0,"15 KOs","2 KOs"
"656951","19","0",0,"5 KOs","0 KOs"
"521741","22","5",2,"22 KOs","1 KOs"
"784150","24","0",0,"22 KOs","0 KOs"
"754350","18","0",0,"10 KOs","0 KOs"
"537406","33","3",1,"8 KOs","0 KOs"
"685630","18","0",1,"10 KOs","0 KOs"
"708440","19","0",0,"12 KOs","0 KOs"
"634535","21","2",1,"6 KOs","0 KOs"
"719819","13","2",1,"8 KOs","0 KOs"
"700603","20","3",0,"13 KOs","2 KOs"
"140100","63","14",0,"48 KOs","4 KOs"
"625960","24","2",0,"16 KOs","0 KOs"
"727368","18","1",2,"8 KOs","1 KOs"
"787430","17","1",0,"16 KOs","1 KOs"
"760625","18","0",0,"16 KOs","0 KOs"
"628426","28","0",0,"22 KOs","0 KOs"
"484564","29","3",0,"15 KOs","0 KOs"
"811275","14","1",0,"10 KOs","0 KOs"
"653492","14","2",0,"5 KOs","0 KOs"
"549253","34","5",1,"24 KOs","1 KOs"
"698248","22","2",0,"14 KOs","0 KOs"
"740161","15","0",0,"11 KOs","0 KOs"
"729904","19","1",0,"15 KOs","1 KOs"
"731506","16","1",0,"8 KOs","0 KOs"
"578491","22","3",2,"15 KOs","1 KOs"
"610107","13","1",0,"7 KOs","0 KOs"
"355273","39","6",1,"28 KOs","4 KOs"
"718379","19","1",0,"9 KOs","0 KOs"
"711679","22","2",0,"13 KOs","1 KOs"
"705606","17","1",0,"7 KOs","1 KOs"
"682201","22","1",0,"20 KOs","0 KOs"
"672389","20","2",2,"7 KOs","0 KOs"
"769396","13","0",0,"9 KOs","0 KOs"
"828463","11","0",0,"6 KOs","0 KOs"
"667459","26","3",1,"20 KOs","2 KOs"
"554533","21","4",0,"17 KOs","2 KOs"
"573106","21","2",0,"7 KOs","0 KOs"
