"boxerID","wins","defeats","draws","wins_by_KO","defeats_by_KO"
"468433","31","0",0,"19 KOs","0 KOs"
"11336","119","15",8,"56 KOs","10 KOs"
"4462","36","1",0,"31 KOs","0 KOs"
"2552","50","6",1,"17 KOs","2 KOs"
"659461","24","2",0,"22 KOs","1 KOs"
"13663","91","24",10,"33 KOs","4 KOs"
"12532","59","21",4,"31 KOs","3 KOs"
"613","43","5",0,"30 KOs","4 KOs"
"472133","31","4",1,"17 KOs","1 KOs"
"142","61","8",0,"27 KOs","1 KOs"
"8618","39","16",3,"29 KOs","8 KOs"
"7233","52","32",5,"13 KOs","1 KOs"
"21663","59","7",1,"30 KOs","2 KOs"
"12376","63","8",2,"43 KOs","1 KOs"
"9040","89","13",3,"79 KOs","9 KOs"
"12665","82","16",2,"19 KOs","5 KOs"
"9705","90","20",6,"62 KOs","3 KOs"
"10138","141","28",12,"11 KOs","4 KOs"
"8152","102","9",0,"82 KOs","1 KOs"
"511","38","2",1,"17 KOs","2 KOs"
"9013","41","6",1,"25 KOs","3 KOs"
"9382","80","13",1,"60 KOs","8 KOs"
"471634","32","0",0,"22 KOs","0 KOs"
"13797","41","10",2,"28 KOs","8 KOs"
"33744","52","13",1,"18 KOs","1 KOs"
"565","55","6",0,"49 KOs","6 KOs"
"9016","67","10",6,"52 KOs","3 KOs"
"59615","66","22",4,"27 KOs","2 KOs"
"955","45","6",1,"27 KOs","0 KOs"
"9427","125","29",12,"40 KOs","3 KOs"
"9000","56","8",1,"46 KOs","6 KOs"
"16258","61","13",1,"36 KOs","2 KOs"
"10912","69","14",6,"18 KOs","4 KOs"
"11925","87","16",5,"57 KOs","4 KOs"
"9863","104","16",15,"58 KOs","5 KOs"
"12420","60","19",6,"31 KOs","3 KOs"
"13070","65","46",15,"8 KOs","6 KOs"
"39712","89","9",3,"27 KOs","2 KOs"
"1311","44","9",0,"36 KOs","1 KOs"
"8997","56","16",7,"27 KOs","2 KOs"
"12479","38","12",5,"26 KOs","5 KOs"
"1437","77","10",3,"47 KOs","0 KOs"
"14043","31","6",1,"22 KOs","0 KOs"
"9794","64","3",0,"42 KOs","1 KOs"
"17906","132","14",1,"88 KOs","2 KOs"
"23151","41","3",1,"29 KOs","1 KOs"
"17248","100","19",8,"50 KOs","5 KOs"
"13679","85","22",11,"25 KOs","6 KOs"
"875","43","6",0,"35 KOs","5 KOs"
"8994","129","19",12,"59 KOs","0 KOs"
"610","47","6",0,"41 KOs","5 KOs"
"9871","123","34",17,"37 KOs","8 KOs"
"24688","87","10",1,"52 KOs","2 KOs"
"24429","63","19",6,"38 KOs","4 KOs"
"59616","53","18",10,"28 KOs","4 KOs"
"16633","50","8",1,"39 KOs","1 KOs"
"9041","56","10",4,"39 KOs","5 KOs"
"1019","67","5",2,"47 KOs","4 KOs"
"659772","19","0",0,"13 KOs","0 KOs"
"11386","106","23",6,"19 KOs","7 KOs"
"10909","104","22",2,"37 KOs","7 KOs"
"47732","79","31",12,"49 KOs","3 KOs"
"11079","73","12",4,"43 KOs","6 KOs"
"19255","61","6",0,"27 KOs","3 KOs"
"12325","108","27",29,"42 KOs","6 KOs"
"9452","61","9",4,"29 KOs","2 KOs"
"12328","111","44",5,"55 KOs","15 KOs"
"509666","43","0",0,"29 KOs","0 KOs"
"750","47","5",2,"14 KOs","3 KOs"
"13093","95","13",3,"59 KOs","5 KOs"
"39979","46","4",0,"29 KOs","0 KOs"
"39120","79","21",8,"19 KOs","4 KOs"
"31056","33","4",1,"20 KOs","3 KOs"
"17914","101","11",5,"57 KOs","1 KOs"
"8683","57","5",0,"32 KOs","3 KOs"
"20109","74","10",6,"22 KOs","4 KOs"
"1689","48","2",0,"32 KOs","1 KOs"
"52149","67","35",6,"33 KOs","18 KOs"
"34798","27","0",2,"15 KOs","0 KOs"
"8492","52","7",0,"33 KOs","3 KOs"
"11110","69","8",0,"36 KOs","2 KOs"
"11078","52","7",4,"14 KOs","1 KOs"
"13102","68","28",6,"13 KOs","1 KOs"
"60393","36","5",0,"19 KOs","3 KOs"
"9710","40","6",2,"20 KOs","3 KOs"
"9872","146","53",24,"51 KOs","5 KOs"
"364679","40","2",0,"30 KOs","0 KOs"
"11090","60","24",3,"34 KOs","3 KOs"
"11349","207","39",26,"19 KOs","2 KOs"
"41689","85","34",21,"12 KOs","0 KOs"
"26390","50","4",1,"43 KOs","2 KOs"
"9884","80","28",10,"26 KOs","4 KOs"
"17630","122","14",10,"57 KOs","2 KOs"
"645","36","3",0,"21 KOs","0 KOs"
"6722","40","5",0,"33 KOs","3 KOs"
"1491","37","4",1,"32 KOs","0 KOs"
"11891","13","6",1,"11 KOs","6 KOs"
"12683","55","7",4,"40 KOs","4 KOs"
"25090","78","9",2,"23 KOs","1 KOs"
"9433","77","4",4,"22 KOs","0 KOs"
"9604","112","24",4,"45 KOs","2 KOs"
"9585","158","29",6,"72 KOs","2 KOs"
